MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeek,Median_NrIncidentsLastMonth,Median_NrCrimesLastWeek,Median_NrCrimesLastMonth,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM,NB_INCIDENTS
10-23,0,0,0,0,0.125,0.25,0.25,0.125,0,0.125,0.125,0,0.875,0,0.125,0,2,0,0,0,0,0,0,0,0,79,2,1,1991,680,299,1,1,0,8
10-24,0.2,0,0,0,0,0,0.2,0,0,0.4,0.2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,57,2,1,1990,697,201,0.965,0.842,0.158,5
10-25,0,0.125,0,0.25,0,0.125,0.125,0,0.125,0,0.25,0,1,0,0,0,2,0,0,0,0,0,0,0,0,56,2,1,1977,216,175,0.982,0.357,0.643,8
10-26,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0.5,0,2.5,0,0,0,0,0,0,0,0,59,2,1,1967,928,201,0.932,1,0,2
10-27,0.3,0.15,0,0,0.05,0.2,0.05,0,0.1,0.05,0.05,0.05,0.85,0,0.15,0,3,0,0,0,0,0,0,0,0,132,2,1,1987,221,201,0.924,0.417,0.583,20
10-28,0.286,0.143,0.143,0,0,0.429,0,0,0,0,0,0,0.857,0,0.143,0,3,0,0,0,0,0,0,0,0,91,2,1,1959,929,190,0.989,1,0,7
10-29,0,0,0.125,0.125,0,0,0.375,0.25,0,0,0.125,0,1,0,0,0,2,0,0,0,0,0,0,0,0,48,2,1,1957.5,929,218.5,0.958,1,0,8
10-30,0.25,0,0,0.125,0,0.125,0.125,0,0.125,0.125,0,0.125,0.875,0,0.125,0,3,0,0,0,0,0,0,0,0,37,2,1,1963,1134,216,0.946,1,0,8
10-31,0,0,0.111,0,0.111,0.111,0.111,0.222,0.222,0.111,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,85,2,1,1956,973,180,0.988,1,0,9
10-32,0,0.222,0.111,0,0,0.111,0.111,0.222,0,0.111,0.111,0,0.778,0.111,0.111,0,3,0,0,0,0,0,0,0,0,105,2,1,1949,767,136,1,1,0,9
10-33,0.045,0.136,0.091,0.091,0.136,0.045,0.091,0,0.136,0.136,0.091,0,0.864,0.045,0.091,0,4,0,0,0,0,0,0,0,0,98,2,1,1935,513.5,179,0.816,1,0,22
10-34,0,0,0.167,0,0.167,0.167,0.167,0,0.167,0.167,0,0,0.5,0,0.5,0,4,0,0,0,0.5,0,0,0,0,36,2,1,1947,509,198.5,0.694,1,0,6
10-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,1974,1372,154.5,0,1,0,0
10-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1928,21064,587.5,1,1,0,0
10-61,0.167,0,0,0,0.167,0.333,0.167,0.167,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1969,29566,864,0,1,0,6
10-63,0.083,0.083,0.083,0,0.333,0.083,0,0,0,0,0.167,0.167,0.667,0,0.333,0,3,0,0,0,0,0,0,0,0,80,2,1,1968,204.5,201,0.7,0.688,0.313,12
10-64,0.048,0.095,0,0.095,0,0.19,0.143,0.095,0,0.19,0.048,0.095,0.762,0,0.238,0,3,0,0,0,0,0,0,0,1,274,2,1,1998,118.5,201,0.967,0.391,0.609,21
